start_sec,end_sec,text,highlight_keywords,motion_style
0.00,2.37,Hay un hispano en Dallas que llegó hace siete años con visa,,none
2.37,4.74,"de turista, sin Social Security, y hoy tiene un FICO de 782.",782|FICO|Social Security,pop
4.73,6.90,Su asesor financiero le cobró 4.000 dólares por enseñarle el sistema.,4.000,pop
6.90,8.87,"Yo te lo voy a explicar gratis en doce minutos,",,none
8.87,11.24,y al final de este video vas a entender tres puertas legales,,none
11.24,13.61,"que tu banco conoce, que el IRS publica en su propia web,",IRS,pop
13.61,15.98,y que la mayoría de hispanos en EE.UU. nunca abre porque nadie,,none
15.97,16.97,nos enseña a leerlas.,,none
16.97,18.74,Pero antes de empezar quiero que entiendas algo incómodo:,,none
18.75,21.12,el motivo real por el que tu crédito está atascado no es,,none
21.11,22.11,tu estatus migratorio.,,none
22.11,24.48,"Es algo que tus padres te enseñaron desde niño y que aquí,",,none
24.48,26.45,"en este país, te empobrece sin que te des cuenta.",,none
26.45,28.62,Voy a contarte cuál es en el segundo siete del video.,,none
28.00,29.70,Aquí va lo incómodo.,,none
29.70,33.53,"En Latinoamérica te enseñaron que la deuda es mala,",,none
33.54,37.54,"que pagar todo en efectivo es señal de gente honrada,",,none
37.54,41.54,y que el que tiene tarjeta de crédito está al borde de,,none
41.54,42.54,la ruina.,,none
42.54,45.10,Y tenían razón en su contexto.,,none
45.09,48.50,Pero en EE.UU. el sistema funciona al revés.,,none
48.50,52.33,Aquí el crédito no es deuda: es identidad financiera.,,none
52.34,54.47,"Si nunca has pedido prestado,",,none
54.47,58.47,"el sistema asume que no se puede confiar en ti,",,none
58.47,62.47,"no porque seas malo, sino porque no existes en sus registros.",,none
62.47,66.47,El que paga la luz en efectivo todos los meses durante diez,,none
66.47,70.47,años tiene el mismo perfil que alguien que acaba de cruzar la,,none
70.47,72.60,"frontera ayer: cero, ninguno, invisible.",,none
72.60,76.60,"Y aquí viene el dato duro: según el Consumer Financial Protection Bureau,",,none
76.60,80.60,"alrededor de veintiséis millones de adultos en EE.UU. son 'credit invisible',",,none
80.60,84.60,y los hispanos representan una de las fracciones más altas de ese,,none
84.60,85.60,grupo.,,none
85.60,89.60,"Veintiséis millones de personas que existen en el censo, trabajan, pagan impuestos,",,none
89.60,92.58,y para el sistema financiero no existen.,,none
92.58,94.71,Ese es el primer obstáculo.,,none
94.71,96.41,No es tu visa.,,none
96.41,98.54,Es tu manera de pensar.,,none
98.54,102.54,La buena noticia es que cambiar tu identidad financiera en este país,,none
102.54,105.10,no requiere papeles que no tengas.,,none
105.10,107.23,Requiere tres movimientos en orden.,,none
107.23,111.23,"Y el primero empieza con un número que muchos hispanos creen, equivocadamente,",,none
111.23,112.93,que es peligroso sacar.,,none
123.00,127.00,"El número se llama ITIN, Individual Taxpayer Identification Number,",ITIN,pop
127.00,130.18,y lo emite el Internal Revenue Service.,,none
130.18,134.18,"Empieza con un nueve, tiene nueve dígitos en total,",,none
134.18,137.36,y se solicita con el formulario W-7.,7|W-7,pop
137.36,139.63,No es un Social Security.,Social Security,pop
139.64,141.91,No te identifica ante inmigración.,,none
141.91,145.91,Es un número que existe únicamente para que la persona que paga,,none
145.91,149.91,"impuestos en este país, sin importar su estatus migratorio, pueda hacerlo legalmente.",,none
149.91,153.55,"Cualquier hispano que haya declarado taxes alguna vez,",,none
153.55,157.55,"ya sea con Schedule C como autónomo o como empleado con W-2,",2,pop
157.55,158.55,califica.,,none
158.55,162.55,La razón por la que muchos no lo piden es miedo:,,none
162.55,166.19,creen que pedirlo los pone en una lista.,,none
